year,month,day,EMBI
2010,12,3,543.30
2010,12,6,544.27
2010,12,7,513.03
2010,12,8,520.88
2010,12,9,520.79
2010,12,10,520.61
2010,12,13,520.88
2010,12,14,511.31
2010,12,15,528.99
2010,12,16,529.43
2010,12,17,546.55
2010,12,20,528.05
2010,12,21,523.02
2010,12,22,506.8
2010,12,23,501.48
2010,12,24,
2010,12,27,500.05
2010,12,28,493.05
2010,12,29,499.17
2010,12,30,497.9
2010,12,31,507.04
2011,1,3,493.33
2011,1,4,489.1
2011,1,5,482.67
2011,1,6,485.96
2011,1,7,502.52
2011,1,10,501.72
2011,1,11,487.93
2011,1,12,478.4
2011,1,13,479.01
2011,1,14,485.03
2011,1,17,
2011,1,18,475.34
2011,1,19,495.32
2011,1,20,489.25
2011,1,21,492.81
2011,1,24,485.49
2011,1,25,503.25
2011,1,26,499.42
2011,1,27,508.15
2011,1,28,554.72
2011,1,31,552.49
2011,2,1,524.76
2011,2,2,516.94
2011,2,3,521.92
2011,2,4,517.99
2011,2,7,517.94
2011,2,8,512.82
2011,2,9,529.54
2011,2,10,526.65
2011,2,11,533.66
2011,2,14,544.38
2011,2,15,553.56
2011,2,16,549.12
2011,2,17,537.96
2011,2,18,532.95
2011,2,21,
2011,2,22,558.57
2011,2,23,571.05
2011,2,24,587.55
2011,2,25,573.26
2011,2,28,580.16
2011,3,1,590.31
2011,3,2,571.06
2011,3,3,553.59
2011,3,4,563.29
2011,3,7,558.48
2011,3,8,546.71
2011,3,9,561.16
2011,3,10,575.41
2011,3,11,573.69
2011,3,14,580.49
2011,3,15,596.7
2011,3,16,608.36
2011,3,17,590.42
2011,3,18,590.86
2011,3,21,577.49
2011,3,22,582.1
2011,3,23,562.97
2011,3,24,549.46
2011,3,25,535.24
2011,3,28,538.23
2011,3,29,543.85
2011,3,30,535.06
2011,3,31,539.41
2011,4,1,513.24
2011,4,4,514.61
2011,4,5,518.43
2011,4,6,512.56
2011,4,7,514.08
2011,4,8,506.57
2011,4,11,508.02
2011,4,12,525.13
2011,4,13,524.55
2011,4,14,528.1
2011,4,15,529.44
2011,4,18,540.48
2011,4,19,546.61
2011,4,20,541.12
2011,4,21,542.44
2011,4,22,
2011,4,25,546.85
2011,4,26,563.87
2011,4,27,566.69
2011,4,28,562.65
2011,4,29,554.74
2011,5,2,546.1
2011,5,3,554.75
2011,5,4,563.73
2011,5,5,581.95
2011,5,6,577.26
2011,5,9,587.79
2011,5,10,584.48
2011,5,11,585.58
2011,5,12,567.13
2011,5,13,579.07
2011,5,16,587.96
2011,5,17,594.46
2011,5,18,579.21
2011,5,19,575.94
2011,5,20,576.72
2011,5,23,589.6
2011,5,24,590.95
2011,5,25,587.05
2011,5,26,599.69
2011,5,27,594.83
2011,5,30,
2011,5,31,591.74
2011,6,1,608.52
2011,6,2,596.57
2011,6,3,597.21
2011,6,6,596.66
2011,6,7,592.26
2011,6,8,602.38
2011,6,9,586.88
2011,6,10,590.19
2011,6,13,595.58
2011,6,14,574.48
2011,6,15,596.91
2011,6,16,625.14
2011,6,17,628.46
2011,6,20,622.31
2011,6,21,613.73
2011,6,22,610.53
2011,6,23,628.58
2011,6,24,635.79
2011,6,27,628.29
2011,6,28,606.55
2011,6,29,596.72
2011,6,30,567.88
2011,7,1,556.13
2011,7,4,
2011,7,5,564.81
2011,7,6,572.27
2011,7,7,570.32
2011,7,8,587.53
2011,7,11,607.87
2011,7,12,613.55
2011,7,13,621.16
2011,7,14,628.14
2011,7,15,623.09
2011,7,18,627.94
2011,7,19,620.9
2011,7,20,614.32
2011,7,21,592.57
2011,7,22,591.4
2011,7,25,577.18
2011,7,26,581.9
2011,7,27,577.24
2011,7,28,580.76
2011,7,29,592.07
2011,8,1,593.21
2011,8,2,610.59
2011,8,3,618.75
2011,8,4,648.49
2011,8,5,688.86
2011,8,8,755.85
2011,8,9,740.62
2011,8,10,753.61
2011,8,11,737.19
